temperature;heating;window;growth
21,0;4;0;5,040
23,5;4;0;2,470
21,9;0;0;-1,646
20,3;0;0;-1,530
21,0;2;0;0,703
20,6;1;0;-0,487
20,2;1;0;-0,399
20,9;2;0;0,756
21,4;2;0;0,537
20,9;1;0;-0,560
21,4;2;0;0,544
20,9;1;0;-0,557
20,4;1;0;-0,457
21,1;2;0;0,680
20,6;1;0;-0,497
21,2;2;0;0,627
20,7;1;0;-0,520
21,3;2;0;0,596
21,7;2;0;0,423
21,1;1;0;-0,610
20,6;1;0;-0,500
21,2;2;0;0,622
21,7;2;0;0,442
21,1;1;0;-0,602
20,6;1;0;-0,493
21,2;2;0;0,631
21,7;2;0;0,448
21,1;1;0;-0,599
20,6;1;0;-0,491
21,2;2;0;0,634
21,7;2;0;0,450
21,1;1;0;-0,598
20,6;1;0;-0,490
21,2;2;0;0,635
20,7;1;0;-0,517
21,3;2;0;0,601
20,8;1;0;-0,532
21,3;2;0;0,581
21,7;2;0;0,412
21,1;1;0;-0,615
20,6;1;0;-0,504
21,2;2;0;0,617
20,7;1;0;-0,525
20,3;1;0;-0,430
21,0;2;0;0,715
20,5;1;0;-0,481
21,2;2;0;0,647
21,6;2;0;0,460
21,0;1;0;-0,594
20,6;1;0;-0,487
21,2;2;0;0,640
19,2;1;1;-1,998
18,9;2;1;-0,310
21,1;4;1;2,247
22,1;4;1;0,944
20,7;2;1;-1,347
19,9;2;1;-0,862
21,5;4;1;1,678
21,3;3;1;-0,226
22,7;3;0;1,373
23,5;3;0;0,824
21,9;0;0;-1,646
21,2;1;0;-0,636
20,7;1;0;-0,522
21,3;2;0;0,594
20,8;1;0;-0,535
20,3;1;0;-0,439
21,0;2;0;0,704
21,5;2;0;0,500
21,0;1;0;-0,576
21,5;2;0;0,522
21,9;2;0;0,371
21,2;1;0;-0,633
20,7;1;0;-0,519
21,3;2;0;0,597
20,8;1;0;-0,533
20,3;1;0;-0,437
21,0;2;0;0,706
20,5;1;0;-0,486
21,2;2;0;0,642
20,7;1;0;-0,514
20,3;1;0;-0,421
21,0;2;0;0,727
21,5;2;0;0,516
20,9;1;0;-0,569
21,5;2;0;0,531
21,8;2;0;0,377
21,2;1;0;-0,630
20,7;1;0;-0,517
21,3;2;0;0,601
20,8;1;0;-0,532
21,3;2;0;0,581
20,8;1;0;-0,541
21,4;2;0;0,569
21,8;2;0;0,404
21,2;1;0;-0,619
20,6;1;0;-0,507
21,3;2;0;0,613
20,7;1;0;-0,526
20,3;1;0;-0,432
21,0;2;0;0,713
21,5;2;0;0,506
20,9;1;0;-0,573
19,0;1;1;-1,936
18,8;2;1;-0,243
21,1;4;1;2,316
22,1;4;1;0,973
22,3;2;0;0,204
23,3;3;0;0,997
21,6;0;0;-1,628
20,1;0;0;-1,514
20,9;2;0;0,767
22,4;3;0;1,548
21,7;1;0;-0,737
21,1;1;0;-0,604
19,1;1;1;-1,972
18,8;2;1;-0,281
21,1;4;1;2,276
22,1;4;1;0,956
22,3;2;0;0,201
23,3;3;0;0,993
21,6;0;0;-1,628
20,1;0;0;-1,514
20,9;2;0;0,766
22,4;3;0;1,547
20,9;0;0;-1,570
21,4;2;0;0,551
19,4;1;1;-2,053
19,0;2;1;-0,369
21,2;4;1;2,186
21,1;3;1;-0,052
21,1;3;1;-0,028
21,1;3;1;-0,015
21,1;3;1;-0,008
21,1;3;1;-0,004
22,5;3;0;1,473
23,4;3;0;0,884
21,8;0;0;-1,640
21,2;1;0;-0,621
20,7;1;0;-0,509
21,3;2;0;0,610
20,7;1;0;-0,528
21,3;2;0;0,586
20,8;1;0;-0,538
21,4;2;0;0,572
21,8;2;0;0,406
21,1;1;0;-0,617
20,6;1;0;-0,506
21,3;2;0;0,614
20,7;1;0;-0,526
20,3;1;0;-0,431
19,6;2;1;-0,707
19,1;2;1;-0,453
21,2;4;1;2,100
22,1;4;1;0,882
20,8;2;1;-1,363
20,9;3;1;0,144
22,0;4;1;1,077
20,7;2;1;-1,312
22,3;3;0;1,634
24,1;4;0;1,827
22,4;0;0;-1,689
20,9;0;0;-1,571
21,4;2;0;0,548
20,9;1;0;-0,555
20,4;1;0;-0,455
21,1;2;0;0,682
20,6;1;0;-0,496
20,2;1;0;-0,407
20,9;2;0;0,746
21,5;2;0;0,530
