temperature;heating;window;growth
21,0;4;0;5,040
23,5;4;0;2,470
21,9;0;0;-1,646
21,2;1;0;-0,636
20,7;1;0;-0,521
21,3;2;0;0,595
20,8;1;0;-0,534
21,3;2;0;0,577
20,8;1;0;-0,542
21,4;2;0;0,567
19,3;1;1;-2,043
21,3;4;1;1,990
21,2;3;1;-0,119
21,1;3;1;-0,063
22,6;3;0;1,446
21,0;0;0;-1,581
19,1;1;1;-1,950
21,2;4;1;2,151
21,1;3;1;-0,065
22,6;3;0;1,445
21,0;0;0;-1,581
20,5;1;0;-0,480
21,2;2;0;0,649
20,7;1;0;-0,511
21,3;2;0;0,609
19,3;1;1;-2,017
22,6;4;0;3,382
21,0;0;0;-1,584
19,1;1;1;-1,962
21,2;4;1;2,130
21,1;3;1;-0,072
22,6;3;0;1,442
21,0;0;0;-1,581
